user_id,movie_id,rating,timestamp
1,1,4.5,2023-01-01 10:00:00
1,3,5.0,2023-01-02 12:00:00
2,2,4.0,2023-01-03 14:00:00
2,4,4.5,2023-01-04 16:00:00
3,3,4.0,2023-01-05 18:00:00
3,5,5.0,2023-01-06 20:00:00
4,6,4.5,2023-01-07 09:00:00
4,7,4.0,2023-01-08 11:00:00
5,1,3.5,2023-01-09 13:00:00
5,8,5.0,2023-01-10 15:00:00
6,9,5.0,2023-01-11 10:30:00
6,10,4.5,2023-01-12 11:45:00
7,11,4.0,2023-01-13 12:15:00
7,12,5.0,2023-01-14 13:30:00
8,13,4.5,2023-01-15 14:00:00
8,14,4.0,2023-01-16 15:20:00
9,15,5.0,2023-01-17 16:10:00
9,16,4.5,2023-01-18 17:05:00
10,17,4.0,2023-01-19 18:00:00
10,18,5.0,2023-01-20 19:15:00
11,19,4.5,2023-01-21 20:00:00
11,20,5.0,2023-01-22 21:10:00
12,1,4.0,2023-01-23 10:25:00
12,9,5.0,2023-01-24 11:30:00
13,10,4.5,2023-01-25 12:40:00
13,15,5.0,2023-01-26 13:50:00
14,16,4.0,2023-01-27 14:05:00
14,19,4.5,2023-01-28 15:15:00
15,20,5.0,2023-01-29 16:25:00
15,5,4.5,2023-01-30 17:35:00
